"","NAME","CLASS","SAMPLE","IS","chemsc","C","db","MASS","ERROR","ISpmol"
"PE(40:2)","PE(40:2)","PETA",1,0,"H87 C45 N1 O8 P1","40",2,"800.6173","1.12 ppm",210.4
"PE(40:1)","PE(40:1)","PETA",1,0,"H89 C45 N1 O8 P1","40",1,"802.6339","2.34 ppm",210.4
"PE-O(36:4)","PE-O(36:4)","PE-O",1,0,"H75 C41 N1 O7 P1","36",4,"724.5272","-0.45 ppm",250
"PE-O(36:2)","PE-O(36:2)","PE-O",1,0,"H79 C41 N1 O7 P1","36",2,"728.5588","-0.03 ppm",250
"PE-O(36:1)","PE-O(36:1)","PE-O",1,0,"H81 C41 N1 O7 P1","36",1,"730.5752","0.92 ppm",250
"PE-O(38:7)","PE-O(38:7)","PE-O",1,0,"H73 C43 N1 O7 P1","38",7,"746.5099","-2.74 ppm",250
"PE-O(38:6)","PE-O(38:6)","PE-O",1,0,"H75 C43 N1 O7 P1","38",6,"748.5284","1.09 ppm",250
"PE-O(38:5)","PE-O(38:5)","PE-O",1,0,"H77 C43 N1 O7 P1","38",5,"750.5442","1.32 ppm",250
"PE-O(38:4)","PE-O(38:4)","PE-O",1,0,"H79 C43 N1 O7 P1","38",4,"752.5593","0.56 ppm",250
"PE-O(38:3)","PE-O(38:3)","PE-O",1,0,"H81 C43 N1 O7 P1","38",3,"754.575","0.66 ppm",250
"PE-O(40:6)","PE-O(40:6)","PE-O",1,0,"H79 C45 N1 O7 P1","40",6,"776.5588","-0.03 ppm",250
"PE-O(40:5)","PE-O(40:5)","PE-O",1,0,"H81 C45 N1 O7 P1","40",5,"778.5744","-0.14 ppm",250
"PE-O(40:4)","PE-O(40:4)","PE-O",1,0,"H83 C45 N1 O7 P1","40",4,"780.5889","-1.65 ppm",250
"PG(32:7)","PG(32:7)","PHGL",1,0,"H65 C38 N1 O10 P1","32",7,"726.4341","0.10 ppm",51.6
"PG(32:2)","PG(32:2)","PHGL",1,0,"H75 C38 N1 O10 P1","32",2,"736.5122","-0.10 ppm",51.6
"PG(32:1)","PG(32:1)","PHGL",1,0,"H77 C38 N1 O10 P1","32",1,"738.5273","-0.95 ppm",51.6
"PG(34:2)","PG(34:2)","PHGL",1,0,"H79 C40 N1 O10 P1","34",2,"764.5408","-3.64 ppm",51.6
"PG(34:1)","PG(34:1)","PHGL",1,0,"H81 C40 N1 O10 P1","34",1,"766.5581","-1.50 ppm",51.6
"PG(36:3)","PG(36:3)","PHGL",1,0,"H81 C42 N1 O10 P1","36",3,"790.5568","-3.10 ppm",51.6
"PG(36:2)","PG(36:2)","PHGL",1,0,"H83 C42 N1 O10 P1","36",2,"792.5719","-3.83 ppm",51.6
"PG(36:1)","PG(36:1)","PHGL",1,0,"H85 C42 N1 O10 P1","36",1,"794.5882","-2.95 ppm",51.6
"PS(24:4)","PS(24:4)","PHSE",1,0,"H51 C30 N1 O10 P1","24",4,"616.3208","-5.99 ppm",98.8
"PS(28:0)","PS(28:0)","PHSE",1,0,"H67 C34 N1 O10 P1","28",0,"680.4504","0.97 ppm",98.8
"PS(32:7)","PS(32:7)","PHSE",1,0,"H61 C38 N1 O10 P1","32",7,"722.3997","-4.26 ppm",98.8
"PS(32:0)","PS(32:0)","PHSE",1,0,"H75 C38 N1 O10 P1","32",0,"736.5122","-0.10 ppm",98.8
"PS(34:1)","PS(34:1)","PHSE",1,0,"H77 C40 N1 O10 P1","34",1,"762.528","0.03 ppm",98.8
"PS(34:0)","PS(34:0)","PHSE",1,0,"H79 C40 N1 O10 P1","34",0,"764.5408","-3.64 ppm",98.8
"PS(36:5)","PS(36:5)","PHSE",1,0,"H73 C42 N1 O10 P1","36",5,"782.4938","-3.61 ppm",98.8
"PS(36:4)","PS(36:4)","PHSE",1,0,"H75 C42 N1 O10 P1","36",4,"784.5127","0.47 ppm",98.8
"PS(36:2)","PS(36:2)","PHSE",1,0,"H79 C42 N1 O10 P1","36",2,"788.5414","-2.76 ppm",98.8
"PS(36:1)","PS(36:1)","PHSE",1,0,"H81 C42 N1 O10 P1","36",1,"790.5568","-3.10 ppm",98.8
"PS(36:0)","PS(36:0)","PHSE",1,0,"H83 C42 N1 O10 P1","36",0,"792.5719","-3.83 ppm",98.8
"PS(38:6)","PS(38:6)","PHSE",1,0,"H75 C44 N1 O10 P1","38",6,"808.5135","1.41 ppm",98.8
"PS(38:5)","PS(38:5)","PHSE",1,0,"H77 C44 N1 O10 P1","38",5,"810.5301","2.64 ppm",98.8
"PS(38:4)","PS(38:4)","PHSE",1,0,"H79 C44 N1 O10 P1","38",4,"812.5439","0.42 ppm",98.8
"PS(38:3)","PS(38:3)","PHSE",1,0,"H81 C44 N1 O10 P1","38",3,"814.5593","0.10 ppm",98.8
"PS(38:2)","PS(38:2)","PHSE",1,0,"H83 C44 N1 O10 P1","38",2,"816.5747","-0.30 ppm",98.8
"PS(38:1)","PS(38:1)","PHSE",1,0,"H85 C44 N1 O10 P1","38",1,"818.5857","-5.95 ppm",98.8
"PS(40:7)","PS(40:7)","PHSE",1,0,"H77 C46 N1 O10 P1","40",7,"834.527","-1.14 ppm",98.8
"PS(40:6)","PS(40:6)","PHSE",1,0,"H79 C46 N1 O10 P1","40",6,"836.5437","0.07 ppm",98.8
"PS(40:5)","PS(40:5)","PHSE",1,0,"H81 C46 N1 O10 P1","40",5,"838.5536","-6.75 ppm",98.8
"PS(40:4)","PS(40:4)","PHSE",1,0,"H83 C46 N1 O10 P1","40",4,"840.5722","-3.24 ppm",98.8
"PS(40:3)","PS(40:3)","PHSE",1,0,"H85 C46 N1 O10 P1","40",3,"842.5894","-1.42 ppm",98.8
"PS(40:2)","PS(40:2)","PHSE",1,0,"H87 C46 N1 O10 P1","40",2,"844.6049","-1.61 ppm",98.8
"PS(40:1)","PS(40:1)","PHSE",1,0,"H89 C46 N1 O10 P1","40",1,"846.622","0.17 ppm",98.8
"PS(42:7)","PS(42:7)","PHSE",1,0,"H81 C48 N1 O10 P1","42",7,"862.5569","-2.72 ppm",98.8
"PS(42:6)","PS(42:6)","PHSE",1,0,"H83 C48 N1 O10 P1","42",6,"864.5728","-2.44 ppm",98.8
"PS(42:5)","PS(42:5)","PHSE",1,0,"H85 C48 N1 O10 P1","42",5,"866.5898","-0.82 ppm",98.8
"PS-O(48:5)","PS-O(48:5)","PHSE",1,0,"H97 C54 N1 O9 P1","48",5,"934.6851","-4.76 ppm",98.8
"SM(16:0)","SM(16:0)","SPMY",1,0,"H80 C39 N2 O6 P1","16",0,"703.5754","0.80 ppm",99.2
"SM(18:1)","SM(18:1)","SPMY",1,0,"H82 C41 N2 O6 P1","18",1,"729.591","0.67 ppm",99.2
"SM(18:0)","SM(18:0)","SPMY",1,0,"H84 C41 N2 O6 P1","18",0,"731.6064","0.39 ppm",99.2
"SM(20:1)","SM(20:1)","SPMY",1,0,"H86 C43 N2 O6 P1","20",1,"757.6211","-0.89 ppm",99.2
"SM(20:0)","SM(20:0)","SPMY",1,0,"H88 C43 N2 O6 P1","20",0,"759.6365","-1.22 ppm",99.2
"SM(22:1)","SM(22:1)","SPMY",1,0,"H90 C45 N2 O6 P1","22",1,"785.6514","-2.14 ppm",99.2
"SM(24:3)","SM(24:3)","SPMY",1,0,"H90 C47 N2 O6 P1","24",3,"809.6515","-1.93 ppm",99.2
"SM(24:2)","SM(24:2)","SPMY",1,0,"H92 C47 N2 O6 P1","24",2,"811.6674","-1.67 ppm",99.2
"SM(24:1)","SM(24:1)","SPMY",1,0,"H94 C47 N2 O6 P1","24",1,"813.684","-0.53 ppm",99.2
"SM(24:0)","SM(24:0)","SPMY",1,0,"H96 C47 N2 O6 P1","24",0,"815.6944","-6.95 ppm",99.2
"SM(26:3)","SM(26:3)","SPMY",1,0,"H94 C49 N2 O6 P1","26",3,"837.6809","-4.18 ppm",99.2
"SM(26:2)","SM(26:2)","SPMY",1,0,"H96 C49 N2 O6 P1","26",2,"839.696","-4.83 ppm",99.2
"SM(26:1)","SM(26:1)","SPMY",1,0,"H98 C49 N2 O6 P1","26",1,"841.7127","-3.55 ppm",99.2
"SM(26:0)","SM(26:0)","SPMY",1,0,"H100 C49 N2 O6 P1","26",0,"843.7269","-5.29 ppm",99.2
"SM(28:3)","SM(28:3)","SPMY",1,0,"H98 C51 N2 O6 P1","28",3,"865.7128","-3.33 ppm",99.2
"SM(28:2)","SM(28:2)","SPMY",1,0,"H100 C51 N2 O6 P1","28",2,"867.7276","-4.33 ppm",99.2
"SM(28:1)","SM(28:1)","SPMY",1,0,"H102 C51 N2 O6 P1","28",1,"869.7429","-4.74 ppm",99.2
"SM(30:5)","SM(30:5)","SPMY",1,0,"H98 C53 N2 O6 P1","30",5,"889.7154","-0.29 ppm",99.2
"SM(30:4)","SM(30:4)","SPMY",1,0,"H100 C53 N2 O6 P1","30",4,"891.7253","-6.77 ppm",99.2
"TAG(46:0)_TAG","TAG(46:0)_TAG","TACG_unsat",1,0,"H98 C49 O6 N1","46",0,"796.7373","-1.92 ppm",427.1
"TAG(48:2)_TAG","TAG(48:2)_TAG","TACG_sat",1,0,"H98 C51 O6 N1","48",2,"820.7388","-0.13 ppm",427.1
"TAG(48:1)_TAG","TAG(48:1)_TAG","TACG_sat",1,0,"H100 C51 O6 N1","48",1,"822.7544","-0.14 ppm",427.1
"TAG(48:0)_TAG","TAG(48:0)_TAG","TACG_unsat",1,0,"H102 C51 O6 N1","48",0,"824.7703","0.19 ppm",427.1
"TAG(50:4)_TAG","TAG(50:4)_TAG","TACG_sat",1,0,"H98 C53 O6 N1","50",4,"844.7392","0.43 ppm",427.1
"TAG(50:3)_TAG","TAG(50:3)_TAG","TACG_sat",1,0,"H100 C53 O6 N1","50",3,"846.7548","0.36 ppm",427.1
"TAG(50:2)_TAG","TAG(50:2)_TAG","TACG_sat",1,0,"H102 C53 O6 N1","50",2,"848.7698","-0.41 ppm",427.1
"TAG(50:1)_TAG","TAG(50:1)_TAG","TACG_sat",1,0,"H104 C53 O6 N1","50",1,"850.7841","-2.02 ppm",427.1
"TAG(52:6)_TAG","TAG(52:6)_TAG","TACG_sat",1,0,"H98 C55 O6 N1","52",6,"868.7395","0.71 ppm",427.1
"TAG(52:5)_TAG","TAG(52:5)_TAG","TACG_sat",1,0,"H100 C55 O6 N1","52",5,"870.7547","0.21 ppm",427.1
"TAG(52:4)_TAG","TAG(52:4)_TAG","TACG_sat",1,0,"H102 C55 O6 N1","52",4,"872.77","-0.15 ppm",427.1
"TAG(52:3)_TAG","TAG(52:3)_TAG","TACG_sat",1,0,"H104 C55 O6 N1","52",3,"874.7849","-1.08 ppm",427.1
"TAG(52:2)_TAG","TAG(52:2)_TAG","TACG_sat",1,0,"H106 C55 O6 N1","52",2,"876.7988","-3.08 ppm",427.1
"TAG(54:8)_TAG","TAG(54:8)_TAG","TACG_sat",1,0,"H98 C57 O6 N1","54",8,"892.7365","-2.67 ppm",427.1
"TAG(54:7)_TAG","TAG(54:7)_TAG","TACG_sat",1,0,"H100 C57 O6 N1","54",7,"894.7524","-2.33 ppm",427.1
"TAG(54:6)_TAG","TAG(54:6)_TAG","TACG_sat",1,0,"H102 C57 O6 N1","54",6,"896.7681","-2.28 ppm",427.1
"TAG(54:5)_TAG","TAG(54:5)_TAG","TACG_sat",1,0,"H104 C57 O6 N1","54",5,"898.7833","-2.82 ppm",427.1
"TAG(54:4)_TAG","TAG(54:4)_TAG","TACG_sat",1,0,"H106 C57 O6 N1","54",4,"900.7981","-3.71 ppm",427.1
"TAG(54:3)_TAG","TAG(54:3)_TAG","TACG_sat",1,0,"H108 C57 O6 N1","54",3,"902.8174","0.31 ppm",427.1
"TAG(54:2)_TAG","TAG(54:2)_TAG","TACG_sat",1,0,"H110 C57 O6 N1","54",2,"904.8291","-4.02 ppm",427.1
"TAG(56:10)_TAG","TAG(56:10)_TAG","TACG_sat",1,0,"H98 C59 O6 N1","56",10,"916.7401","1.34 ppm",427.1
"TAG(56:9)_TAG","TAG(56:9)_TAG","TACG_sat",1,0,"H100 C59 O6 N1","56",9,"918.7557","1.29 ppm",427.1
"TAG(56:8)_TAG","TAG(56:8)_TAG","TACG_sat",1,0,"H102 C59 O6 N1","56",8,"920.7718","1.81 ppm",427.1
"TAG(56:7)_TAG","TAG(56:7)_TAG","TACG_sat",1,0,"H104 C59 O6 N1","56",7,"922.787","1.28 ppm",427.1
"TAG(56:6)_TAG","TAG(56:6)_TAG","TACG_sat",1,0,"H106 C59 O6 N1","56",6,"924.7994","-2.18 ppm",427.1
"TAG(56:5)_TAG","TAG(56:5)_TAG","TACG_sat",1,0,"H108 C59 O6 N1","56",5,"926.8149","-2.34 ppm",427.1
"TAG(56:4)_TAG","TAG(56:4)_TAG","TACG_sat",1,0,"H110 C59 O6 N1","56",4,"928.8314","-1.44 ppm",427.1
"TAG(56:3)_TAG","TAG(56:3)_TAG","TACG_sat",1,0,"H112 C59 O6 N1","56",3,"930.8496","1.30 ppm",427.1
"TAG(56:2)_TAG","TAG(56:2)_TAG","TACG_sat",1,0,"H114 C59 O6 N1","56",2,"932.8656","1.67 ppm",427.1
"TAG(58:11)_TAG","TAG(58:11)_TAG","TACG_sat",1,0,"H100 C61 O6 N1","58",11,"942.7551","0.66 ppm",427.1
"TAG(58:10)_TAG","TAG(58:10)_TAG","TACG_sat",1,0,"H102 C61 O6 N1","58",10,"944.7712","1.11 ppm",427.1
"TAG(58:9)_TAG","TAG(58:9)_TAG","TACG_sat",1,0,"H104 C61 O6 N1","58",9,"946.7869","1.13 ppm",427.1
"TAG(58:8)_TAG","TAG(58:8)_TAG","TACG_sat",1,0,"H106 C61 O6 N1","58",8,"948.8025","1.11 ppm",427.1
"TAG(58:7)_TAG","TAG(58:7)_TAG","TACG_sat",1,0,"H108 C61 O6 N1","58",7,"950.8157","-1.46 ppm",427.1
"TAG(58:6)_TAG","TAG(58:6)_TAG","TACG_sat",1,0,"H110 C61 O6 N1","58",6,"952.8316","-1.22 ppm",427.1
"TAG(58:5)_TAG","TAG(58:5)_TAG","TACG_sat",1,0,"H112 C61 O6 N1","58",5,"954.85","1.68 ppm",427.1
"TAG(58:4)_TAG","TAG(58:4)_TAG","TACG_sat",1,0,"H114 C61 O6 N1","58",4,"956.8655","1.53 ppm",427.1
"TAG(30:0)_TAG2","TAG(30:0)_TAG2","TACG_unsat",1,0,"H66 C33 O6 N1","30",0,"572.4882","-0.54 ppm",339
"TAG(32:2)_TAG2","TAG(32:2)_TAG2","TACG_sat",1,0,"H66 C35 O6 N1","32",2,"596.4858","-4.53 ppm",339
"TAG(32:1)_TAG2","TAG(32:1)_TAG2","TACG_sat",1,0,"H68 C35 O6 N1","32",1,"598.5009","-5.35 ppm",339
"TAG(34:4)_TAG2","TAG(34:4)_TAG2","TACG_sat",1,0,"H66 C37 O6 N1","34",4,"620.4844","-6.53 ppm",339
"TAG(36:1)_TAG2","TAG(36:1)_TAG2","TACG_sat",1,0,"H76 C39 O6 N1","36",1,"654.5672","0.75 ppm",339
"TAG(36:0)_TAG2","TAG(36:0)_TAG2","TACG_unsat",1,0,"H78 C39 O6 N1","36",0,"656.5826","0.33 ppm",339
"TAG(38:8)_TAG2","TAG(38:8)_TAG2","TACG_sat",1,0,"H66 C41 O6 N1","38",8,"668.4885","0.01 ppm",339
"TAG(38:7)_TAG2","TAG(38:7)_TAG2","TACG_sat",1,0,"H68 C41 O6 N1","38",7,"670.5033","-1.18 ppm",339
"TAG(38:6)_TAG2","TAG(38:6)_TAG2","TACG_sat",1,0,"H70 C41 O6 N1","38",6,"672.5176","-3.23 ppm",339
"TAG(38:2)_TAG2","TAG(38:2)_TAG2","TACG_sat",1,0,"H78 C41 O6 N1","38",2,"680.5816","-1.08 ppm",339
"TAG(38:1)_TAG2","TAG(38:1)_TAG2","TACG_sat",1,0,"H80 C41 O6 N1","38",1,"682.5972","-1.14 ppm",339
"TAG(38:0)_TAG2","TAG(38:0)_TAG2","TACG_unsat",1,0,"H82 C41 O6 N1","38",0,"684.6131","-0.89 ppm",339
"TAG(40:10)_TAG2","TAG(40:10)_TAG2","TACG_sat",1,0,"H66 C43 O6 N1","40",10,"692.4873","-1.71 ppm",339
"TAG(40:9)_TAG2","TAG(40:9)_TAG2","TACG_sat",1,0,"H68 C43 O6 N1","40",9,"694.5001","-5.71 ppm",339
"TAG(40:8)_TAG2","TAG(40:8)_TAG2","TACG_sat",1,0,"H70 C43 O6 N1","40",8,"696.5188","-1.35 ppm",339
"TAG(40:7)_TAG2","TAG(40:7)_TAG2","TACG_sat",1,0,"H72 C43 O6 N1","40",7,"698.5331","-3.25 ppm",339
"TAG(40:6)_TAG2","TAG(40:6)_TAG2","TACG_sat",1,0,"H74 C43 O6 N1","40",6,"700.549","-2.91 ppm",339
"TAG(40:5)_TAG2","TAG(40:5)_TAG2","TACG_sat",1,0,"H76 C43 O6 N1","40",5,"702.5634","-4.73 ppm",339
"TAG(40:4)_TAG2","TAG(40:4)_TAG2","TACG_sat",1,0,"H78 C43 O6 N1","40",4,"704.5788","-5.10 ppm",339
"TAG(40:3)_TAG2","TAG(40:3)_TAG2","TACG_sat",1,0,"H80 C43 O6 N1","40",3,"706.5945","-4.93 ppm",339
"TAG(40:2)_TAG2","TAG(40:2)_TAG2","TACG_sat",1,0,"H82 C43 O6 N1","40",2,"708.614","0.45 ppm",339
"TAG(40:1)_TAG2","TAG(40:1)_TAG2","TACG_sat",1,0,"H84 C43 O6 N1","40",1,"710.6298","0.68 ppm",339
"TAG(40:0)_TAG2","TAG(40:0)_TAG2","TACG_unsat",1,0,"H86 C43 O6 N1","40",0,"712.6455","0.79 ppm",339
"TAG(42:7)_TAG2","TAG(42:7)_TAG2","TACG_sat",1,0,"H76 C45 O6 N1","42",7,"726.5641","-3.54 ppm",339
"TAG(42:5)_TAG2","TAG(42:5)_TAG2","TACG_sat",1,0,"H80 C45 O6 N1","42",5,"730.5943","-5.09 ppm",339
"TAG(42:4)_TAG2","TAG(42:4)_TAG2","TACG_sat",1,0,"H82 C45 O6 N1","42",4,"732.6091","-6.20 ppm",339
"TAG(42:2)_TAG2","TAG(42:2)_TAG2","TACG_sat",1,0,"H86 C45 O6 N1","42",2,"736.6449","-0.13 ppm",339
"TAG(42:1)_TAG2","TAG(42:1)_TAG2","TACG_sat",1,0,"H88 C45 O6 N1","42",1,"738.6607","0.12 ppm",339
"TAG(42:0)_TAG2","TAG(42:0)_TAG2","TACG_unsat",1,0,"H90 C45 O6 N1","42",0,"740.6766","0.42 ppm",339
"TAG(44:2)_TAG2","TAG(44:2)_TAG2","TACG_sat",1,0,"H90 C47 O6 N1","44",2,"764.6759","-0.42 ppm",339
"TAG(44:1)_TAG2","TAG(44:1)_TAG2","TACG_sat",1,0,"H92 C47 O6 N1","44",1,"766.6911","-1.00 ppm",339
"TAG(44:0)_TAG2","TAG(44:0)_TAG2","TACG_unsat",1,0,"H94 C47 O6 N1","44",0,"768.7074","-0.18 ppm",339
"TAG(46:11)_TAG2","TAG(46:11)_TAG2","TACG_sat",1,0,"H76 C49 O6 N1","46",11,"774.5636","-3.99 ppm",339
"TAG(46:2)_TAG2","TAG(46:2)_TAG2","TACG_sat",1,0,"H94 C49 O6 N1","46",2,"792.7055","-2.63 ppm",339
"TAG(46:1)_TAG2","TAG(46:1)_TAG2","TACG_sat",1,0,"H96 C49 O6 N1","46",1,"794.7211","-2.65 ppm",339
"TAG(46:0)_TAG2","TAG(46:0)_TAG2","TACG_unsat",1,0,"H98 C49 O6 N1","46",0,"796.7373","-1.92 ppm",339
"TAG(48:10)_TAG2","TAG(48:10)_TAG2","TACG_sat",1,0,"H82 C51 O6 N1","48",10,"804.6111","-3.13 ppm",339
"TAG(48:6)_TAG2","TAG(48:6)_TAG2","TACG_sat",1,0,"H90 C51 O6 N1","48",6,"812.6718","-5.51 ppm",339
"TAG(48:5)_TAG2","TAG(48:5)_TAG2","TACG_sat",1,0,"H92 C51 O6 N1","48",5,"814.6874","-5.54 ppm",339
"TAG(48:4)_TAG2","TAG(48:4)_TAG2","TACG_sat",1,0,"H94 C51 O6 N1","48",4,"816.7033","-5.25 ppm",339
"TAG(48:3)_TAG2","TAG(48:3)_TAG2","TACG_sat",1,0,"H96 C51 O6 N1","48",3,"818.723","-0.24 ppm",339
"TAG(48:2)_TAG2","TAG(48:2)_TAG2","TACG_sat",1,0,"H98 C51 O6 N1","48",2,"820.7388","-0.13 ppm",339
"TAG(48:1)_TAG2","TAG(48:1)_TAG2","TACG_sat",1,0,"H100 C51 O6 N1","48",1,"822.7544","-0.14 ppm",339
"TAG(48:0)_TAG2","TAG(48:0)_TAG2","TACG_unsat",1,0,"H102 C51 O6 N1","48",0,"824.7703","0.19 ppm",339
"TAG(50:7)_TAG2","TAG(50:7)_TAG2","TACG_sat",1,0,"H92 C53 O6 N1","50",7,"838.6866","-6.31 ppm",339
"TAG(50:6)_TAG2","TAG(50:6)_TAG2","TACG_sat",1,0,"H94 C53 O6 N1","50",6,"840.7074","-0.25 ppm",339
"TAG(50:5)_TAG2","TAG(50:5)_TAG2","TACG_sat",1,0,"H96 C53 O6 N1","50",5,"842.7235","0.34 ppm",339
"TAG(50:4)_TAG2","TAG(50:4)_TAG2","TACG_sat",1,0,"H98 C53 O6 N1","50",4,"844.7392","0.43 ppm",339
"TAG(50:3)_TAG2","TAG(50:3)_TAG2","TACG_sat",1,0,"H100 C53 O6 N1","50",3,"846.7548","0.36 ppm",339
"TAG(50:2)_TAG2","TAG(50:2)_TAG2","TACG_sat",1,0,"H102 C53 O6 N1","50",2,"848.7698","-0.41 ppm",339
"TAG(50:1)_TAG2","TAG(50:1)_TAG2","TACG_sat",1,0,"H104 C53 O6 N1","50",1,"850.7841","-2.02 ppm",339
"TAG(52:11)_TAG2","TAG(52:11)_TAG2","TACG_sat",1,0,"H88 C55 O6 N1","52",11,"858.6657","5.89 ppm",339
"TAG(52:8)_TAG2","TAG(52:8)_TAG2","TACG_sat",1,0,"H94 C55 O6 N1","52",8,"864.706","-1.75 ppm",339
"TAG(52:7)_TAG2","TAG(52:7)_TAG2","TACG_sat",1,0,"H96 C55 O6 N1","52",7,"866.723","-0.23 ppm",339
"TAG(52:6)_TAG2","TAG(52:6)_TAG2","TACG_sat",1,0,"H98 C55 O6 N1","52",6,"868.7395","0.71 ppm",339
"TAG(52:5)_TAG2","TAG(52:5)_TAG2","TACG_sat",1,0,"H100 C55 O6 N1","52",5,"870.7547","0.21 ppm",339
"TAG(52:4)_TAG2","TAG(52:4)_TAG2","TACG_sat",1,0,"H102 C55 O6 N1","52",4,"872.77","-0.15 ppm",339
"TAG(52:3)_TAG2","TAG(52:3)_TAG2","TACG_sat",1,0,"H104 C55 O6 N1","52",3,"874.7849","-1.08 ppm",339
"TAG(52:2)_TAG2","TAG(52:2)_TAG2","TACG_sat",1,0,"H106 C55 O6 N1","52",2,"876.7988","-3.08 ppm",339
"TAG(54:11)_TAG2","TAG(54:11)_TAG2","TACG_sat",1,0,"H92 C57 O6 N1","54",11,"886.6897","-2.49 ppm",339
"TAG(54:10)_TAG2","TAG(54:10)_TAG2","TACG_sat",1,0,"H94 C57 O6 N1","54",10,"888.7036","-4.51 ppm",339
"TAG(54:9)_TAG2","TAG(54:9)_TAG2","TACG_sat",1,0,"H96 C57 O6 N1","54",9,"890.722","-1.39 ppm",339
"TAG(54:8)_TAG2","TAG(54:8)_TAG2","TACG_sat",1,0,"H98 C57 O6 N1","54",8,"892.7365","-2.67 ppm",339
"TAG(54:7)_TAG2","TAG(54:7)_TAG2","TACG_sat",1,0,"H100 C57 O6 N1","54",7,"894.7524","-2.33 ppm",339
"TAG(54:6)_TAG2","TAG(54:6)_TAG2","TACG_sat",1,0,"H102 C57 O6 N1","54",6,"896.7681","-2.28 ppm",339
"TAG(54:5)_TAG2","TAG(54:5)_TAG2","TACG_sat",1,0,"H104 C57 O6 N1","54",5,"898.7833","-2.82 ppm",339
"TAG(54:4)_TAG2","TAG(54:4)_TAG2","TACG_sat",1,0,"H106 C57 O6 N1","54",4,"900.7981","-3.71 ppm",339
"TAG(54:3)_TAG2","TAG(54:3)_TAG2","TACG_sat",1,0,"H108 C57 O6 N1","54",3,"902.8174","0.31 ppm",339
"TAG(54:2)_TAG2","TAG(54:2)_TAG2","TACG_sat",1,0,"H110 C57 O6 N1","54",2,"904.8291","-4.02 ppm",339
"TAG(56:11)_TAG2","TAG(56:11)_TAG2","TACG_sat",1,0,"H96 C59 O6 N1","56",11,"914.7233","0.05 ppm",339
"TAG(56:10)_TAG2","TAG(56:10)_TAG2","TACG_sat",1,0,"H98 C59 O6 N1","56",10,"916.7401","1.34 ppm",339
"TAG(56:9)_TAG2","TAG(56:9)_TAG2","TACG_sat",1,0,"H100 C59 O6 N1","56",9,"918.7557","1.29 ppm",339
"TAG(56:8)_TAG2","TAG(56:8)_TAG2","TACG_sat",1,0,"H102 C59 O6 N1","56",8,"920.7718","1.81 ppm",339
"TAG(56:7)_TAG2","TAG(56:7)_TAG2","TACG_sat",1,0,"H104 C59 O6 N1","56",7,"922.787","1.28 ppm",339
"TAG(56:6)_TAG2","TAG(56:6)_TAG2","TACG_sat",1,0,"H106 C59 O6 N1","56",6,"924.7994","-2.18 ppm",339
"TAG(56:5)_TAG2","TAG(56:5)_TAG2","TACG_sat",1,0,"H108 C59 O6 N1","56",5,"926.8149","-2.34 ppm",339
"TAG(56:4)_TAG2","TAG(56:4)_TAG2","TACG_sat",1,0,"H110 C59 O6 N1","56",4,"928.8314","-1.44 ppm",339
"TAG(56:3)_TAG2","TAG(56:3)_TAG2","TACG_sat",1,0,"H112 C59 O6 N1","56",3,"930.8496","1.30 ppm",339
"TAG(56:2)_TAG2","TAG(56:2)_TAG2","TACG_sat",1,0,"H114 C59 O6 N1","56",2,"932.8656","1.67 ppm",339
"TAG(58:11)_TAG2","TAG(58:11)_TAG2","TACG_sat",1,0,"H100 C61 O6 N1","58",11,"942.7551","0.66 ppm",339
"TAG(58:10)_TAG2","TAG(58:10)_TAG2","TACG_sat",1,0,"H102 C61 O6 N1","58",10,"944.7712","1.11 ppm",339
"TAG(58:9)_TAG2","TAG(58:9)_TAG2","TACG_sat",1,0,"H104 C61 O6 N1","58",9,"946.7869","1.13 ppm",339
"TAG(58:8)_TAG2","TAG(58:8)_TAG2","TACG_sat",1,0,"H106 C61 O6 N1","58",8,"948.8025","1.11 ppm",339
"TAG(58:7)_TAG2","TAG(58:7)_TAG2","TACG_sat",1,0,"H108 C61 O6 N1","58",7,"950.8157","-1.46 ppm",339
"TAG(58:6)_TAG2","TAG(58:6)_TAG2","TACG_sat",1,0,"H110 C61 O6 N1","58",6,"952.8316","-1.22 ppm",339
"TAG(58:5)_TAG2","TAG(58:5)_TAG2","TACG_sat",1,0,"H112 C61 O6 N1","58",5,"954.85","1.68 ppm",339
"TAG(58:4)_TAG2","TAG(58:4)_TAG2","TACG_sat",1,0,"H114 C61 O6 N1","58",4,"956.8655","1.53 ppm",339
"TAG(58:3)_TAG2","TAG(58:3)_TAG2","TACG_sat",1,0,"H116 C61 O6 N1","58",3,"958.8808","1.17 ppm",339
"TAG(58:2)_TAG2","TAG(58:2)_TAG2","TACG_sat",1,0,"H118 C61 O6 N1","58",2,"960.897","1.69 ppm",339
"TAG(30:0)_TAGC4","TAG(30:0)_TAGC4","TACG_unsat",1,0,"H66 C33 O6 N1","30",0,"572.4882","-0.54 ppm",339
"TAG(32:2)_TAGC4","TAG(32:2)_TAGC4","TACG_sat",1,0,"H66 C35 O6 N1","32",2,"596.4858","-4.53 ppm",339
"TAG(32:1)_TAGC4","TAG(32:1)_TAGC4","TACG_sat",1,0,"H68 C35 O6 N1","32",1,"598.5009","-5.35 ppm",339
